OrderID,OrderDate,CustomerID,CustomerSegment,Region,ProductCategory,Product,Quantity,UnitPrice,DiscountPct,Sales,Profit,ShippingCost,PaymentMode
ORD1000,2024-04-12,CUST385,Home Office,North,Groceries,Cooking Oil,5,994.14,0.05,4722.16,1573.92,259.39,UPI
ORD1001,2025-03-11,CUST243,Consumer,Central,Clothing,Cap,3,751.98,0.2,1804.75,-110.55,480.11,UPI
ORD1002,2024-09-27,CUST118,Corporate,West,Clothing,Sneakers,3,3246.01,0.25,7303.52,-661.99,372.66,Credit Card
ORD1003,2024-04-16,CUST117,Corporate,South,Clothing,Sneakers,1,599.63,,569.65,147.5,378.92,Cash on Delivery
ORD1004,2024-03-12,CUST356,Corporate,West,Electronics,Tablet,3,57393.66,0.15,146353.83,9022.9,141.12,Credit Card
ORD1005,2025-12-01,CUST177,Consumer,West,Furniture,Table Lamp,2,15856.77,0.1,28542.19,3337.98,219.06,Net Banking
ORD1006,2024-01-21,CUST274,Corporate,East,Groceries,Rice 5kg,6,101.78,0.2,488.54,-18.59,59.52,Credit Card
ORD1007,2025-09-06,CUST293,Consumer,West,Groceries,Cooking Oil,3,1351.61,0.05,3852.09,598.99,311.13,Cash on Delivery
ORD1008,2024-05-01,CUST212,Corporate,South,Stationery,Marker Set,1,649.97,0.05,617.47,134.47,69.79,Credit Card
ORD1009,2025-04-11,CUST213,Consumer,East,Clothing,Cap,1,1140.54,0.05,1083.51,247.73,421.24,Net Banking
ORD1010,2024-08-02,CUST321,Home Office,East,Clothing,Jacket,2,2755.29,0.15,4683.99,880.55,410.99,Credit Card
ORD1011,2024-11-26,CUST265,Consumer,Central,Clothing,Cap,1,3265.33,0.0,3265.33,855.69,276.13,UPI
ORD1012,2025-04-03,CUST231,Corporate,West,Groceries,Cooking Oil,7,777.17,0.0,5440.19,1150.25,87.76,Net Banking
ORD1013,2024-03-28,CUST363,Home Office,West,Stationery,Backpack,4,412.89,0.05,1568.98,180.49,32.28,Credit Card
ORD1014,2025-01-07,CUST154,Corporate,North,Electronics,Smartwatch,7,47758.82,0.0,334311.74,103574.39,402.42,Credit Card
ORD1015,2024-04-09,CUST230,Consumer,West,Furniture,Sofa,6,17521.96,0.1,94618.58,18703.36,308.07,Cash on Delivery
